AMZN_unscaled,AMZN_monthly,scale,AMZN
70,62.0,0.62,43.4
19,62.0,0.62,11.78
11,62.0,0.62,6.82
58,62.0,0.62,35.96
55,62.0,0.62,34.1
72,62.0,0.62,44.64
63,62.0,0.62,39.06
54,62.0,0.62,33.48
14,62.0,0.62,8.68
8,62.0,0.62,4.96
74,62.0,0.62,45.88
68,62.0,0.62,42.16
54,62.0,0.62,33.48
62,62.0,0.62,38.44
54,62.0,0.62,33.48
15,62.0,0.62,9.3
9,62.0,0.62,5.58
48,62.0,0.62,29.759999999999998
54,62.0,0.62,33.48
62,62.0,0.62,38.44
60,62.0,0.62,37.2
53,62.0,0.62,32.86
12,62.0,0.62,7.4399999999999995
7,62.0,0.62,4.34
26,100.0,1.0,26.0
30,100.0,1.0,30.0
28,100.0,1.0,28.0
29,100.0,1.0,29.0
30,100.0,1.0,30.0
7,100.0,1.0,7.0
4,100.0,1.0,4.0
27,100.0,1.0,27.0
28,100.0,1.0,28.0
47,100.0,1.0,47.0
61,100.0,1.0,61.0
49,100.0,1.0,49.0
10,100.0,1.0,10.0
6,100.0,1.0,6.0
31,100.0,1.0,31.0
35,100.0,1.0,35.0
31,100.0,1.0,31.0
32,100.0,1.0,32.0
30,100.0,1.0,30.0
7,100.0,1.0,7.0
5,100.0,1.0,5.0
29,100.0,1.0,29.0
32,100.0,1.0,32.0
43,100.0,1.0,43.0
92,100.0,1.0,92.0
100,100.0,1.0,100.0
16,100.0,1.0,16.0
6,100.0,1.0,6.0
61,100.0,1.0,61.0
63,100.0,1.0,63.0
52,100.0,1.0,52.0
100,79.0,0.79,79.0
89,79.0,0.79,70.31
21,79.0,0.79,16.59
13,79.0,0.79,10.27
66,79.0,0.79,52.14
67,79.0,0.79,52.93
69,79.0,0.79,54.510000000000005
74,79.0,0.79,58.46
58,79.0,0.79,45.82
17,79.0,0.79,13.43
8,79.0,0.79,6.32
54,79.0,0.79,42.660000000000004
73,79.0,0.79,57.67
65,79.0,0.79,51.35
70,79.0,0.79,55.300000000000004
55,79.0,0.79,43.45
18,79.0,0.79,14.22
14,79.0,0.79,11.06
66,79.0,0.79,52.14
92,79.0,0.79,72.68
65,79.0,0.79,51.35
20,79.0,0.79,15.8
43,79.0,0.79,33.97
18,79.0,0.79,14.22
12,79.0,0.79,9.48
72,79.0,0.79,56.88
69,79.0,0.79,54.510000000000005
78,79.0,0.79,61.620000000000005
78,79.0,0.79,61.620000000000005
64,79.0,0.79,50.56
19,69.0,0.69,13.11
16,69.0,0.69,11.04
81,69.0,0.69,55.88999999999999
84,69.0,0.69,57.959999999999994
45,69.0,0.69,31.049999999999997
74,69.0,0.69,51.059999999999995
74,69.0,0.69,51.059999999999995
15,69.0,0.69,10.35
8,69.0,0.69,5.52
64,69.0,0.69,44.16
65,69.0,0.69,44.849999999999994
64,69.0,0.69,44.16
58,69.0,0.69,40.019999999999996
54,69.0,0.69,37.26
17,69.0,0.69,11.729999999999999
9,69.0,0.69,6.209999999999999
65,69.0,0.69,44.849999999999994
65,69.0,0.69,44.849999999999994
69,69.0,0.69,47.61
77,69.0,0.69,53.129999999999995
93,69.0,0.69,64.17
30,69.0,0.69,20.7
11,69.0,0.69,7.59
68,69.0,0.69,46.919999999999995
25,69.0,0.69,17.25
100,69.0,0.69,69.0
96,69.0,0.69,66.24
78,69.0,0.69,53.81999999999999
22,69.0,0.69,15.18
11,69.0,0.69,7.59
61,69.0,0.69,42.089999999999996
11,72.0,0.72,7.92
40,72.0,0.72,28.799999999999997
51,72.0,0.72,36.72
48,72.0,0.72,34.56
11,72.0,0.72,7.92
7,72.0,0.72,5.04
43,72.0,0.72,30.959999999999997
49,72.0,0.72,35.28
54,72.0,0.72,38.879999999999995
45,72.0,0.72,32.4
35,72.0,0.72,25.2
12,72.0,0.72,8.64
5,72.0,0.72,3.5999999999999996
33,72.0,0.72,23.759999999999998
38,72.0,0.72,27.36
43,72.0,0.72,30.959999999999997
34,72.0,0.72,24.48
31,72.0,0.72,22.32
11,72.0,0.72,7.92
6,72.0,0.72,4.32
10,72.0,0.72,7.199999999999999
30,72.0,0.72,21.599999999999998
32,72.0,0.72,23.04
35,72.0,0.72,25.2
37,72.0,0.72,26.64
7,72.0,0.72,5.04
6,72.0,0.72,4.32
29,72.0,0.72,20.88
35,72.0,0.72,25.2
48,72.0,0.72,34.56
100,72.0,0.72,72.0
100,61.0,0.61,61.0
17,61.0,0.61,10.37
7,61.0,0.61,4.27
37,61.0,0.61,22.57
41,61.0,0.61,25.009999999999998
33,61.0,0.61,20.13
33,61.0,0.61,20.13
37,61.0,0.61,22.57
11,61.0,0.61,6.71
8,61.0,0.61,4.88
29,61.0,0.61,17.69
33,61.0,0.61,20.13
41,61.0,0.61,25.009999999999998
37,61.0,0.61,22.57
35,61.0,0.61,21.349999999999998
12,61.0,0.61,7.32
6,61.0,0.61,3.66
13,61.0,0.61,7.93
33,61.0,0.61,20.13
29,61.0,0.61,17.69
29,61.0,0.61,17.69
30,61.0,0.61,18.3
12,61.0,0.61,7.32
9,61.0,0.61,5.49
29,61.0,0.61,17.69
32,61.0,0.61,19.52
30,61.0,0.61,18.3
29,61.0,0.61,17.69
78,57.0,0.57,44.459999999999994
31,57.0,0.57,17.669999999999998
27,57.0,0.57,15.389999999999999
81,57.0,0.57,46.169999999999995
80,57.0,0.57,45.599999999999994
77,57.0,0.57,43.88999999999999
70,57.0,0.57,39.9
75,57.0,0.57,42.74999999999999
28,57.0,0.57,15.959999999999999
24,57.0,0.57,13.68
73,57.0,0.57,41.61
85,57.0,0.57,48.449999999999996
70,57.0,0.57,39.9
73,57.0,0.57,41.61
80,57.0,0.57,45.599999999999994
28,57.0,0.57,15.959999999999999
25,57.0,0.57,14.249999999999998
80,57.0,0.57,45.599999999999994
100,57.0,0.57,56.99999999999999
97,57.0,0.57,55.28999999999999
100,57.0,0.57,56.99999999999999
