Date,Open-amzn,High-amzn,Low-amzn,Close-amzn,Adj Close-amzn,Volume-amzn,SMA-7,SMA-21,SMA-90,Change,% Change,Gain,Loss,Average Gain,Average Loss,RS,RSI-14 Day,TR,DM+1,DM-1,TR-14,DM+1-14,DM-1+14,dl+1-14,dl-1-14,dl14diff,dl14sum,DX,ADX
1/10/19,1641.01001,1663.25,1621.619995,1656.219971,1656.219971,6507700,1602.361433,1544.563808,1725.962671,-3.200073,-0.192842856,0,3.200073,22.27020816,16.15077881,1.378893762,57.96365454,41.630005,0,19.780029,1014.250122,300.099975,195.960083,29.58835976,19.32068617,10.2676736,48.90904593,20.99340399,36.39035639
1/11/19,1640.550049,1660.290039,1636.219971,1640.560059,1640.560059,4686200,1616.851441,1544.436192,1721.827672,-15.659912,-0.945521264,0,15.659912,20.67947901,16.1157169,1.283187037,56.20157333,24.070068,0,0,961.510131,300.099975,145.46997,31.211317,15.12932265,16.08199436,46.34063965,34.70386787,35.68082176
1/14/19,1615,1648.199951,1595.150024,1617.209961,1617.209961,6005900,1633.555717,1542.229998,1717.135449,-23.350098,-1.423300407,0,23.350098,19.20237336,16.6324584,1.154512033,53.5857779,53.049927,0,41.069947,898.520019,300.099975,117.809937,33.39936436,13.11155395,20.28781042,46.51091831,43.61945787,35.06633653
1/15/19,1632,1675.160034,1626.01001,1674.560059,1674.560059,5998500,1647.722866,1543.000477,1713.577006,57.350098,3.546237,57.350098,0,21.92721084,15.44442566,1.419749191,58.67340286,57.950073,26.960083,0,867.440063,327.060058,60.849976,37.70405264,7.014891126,30.68916152,44.71894377,68.62675844,34.39396893
1/16/19,1684.219971,1705,1675.880005,1683.780029,1683.780029,6366900,1655.475726,1547.375238,1710.526672,9.21997,0.550590584,9.21997,0,21.01955078,14.3412524,1.465670514,59.44308072,30.439941,29.839966,0,768.679931,279.770019,60.849976,36.39616539,7.916165565,28.47999982,44.31233095,64.27104874,35.20615816
1/17/19,1680,1700.170044,1677.5,1693.219971,1693.219971,4208900,1660.710013,1555.580473,1707.650562,9.439942,0.56063986,9.439942,0,20.19243586,13.31687723,1.516304124,60.25917574,22.670044,0,0,710.76001,279.770019,60.849976,39.3620934,8.561254874,30.80083853,47.92334828,64.27104874,36.35700229
1/18/19,1712,1716.199951,1691.540039,1696.199951,1696.199951,6020500,1665.964286,1562.471901,1704.952672,2.97998,0.175994853,2.97998,0,18.96297473,12.36567171,1.533517562,60.52918617,24.659912,16.029907,0,670.949951,251.329955,60.849976,37.45882307,9.069227281,28.38959578,46.52805035,61.01608723,37.7651942
1/22/19,1681,1681.869995,1610.199951,1632.170044,1632.170044,6416800,1662.528582,1569,1701.00845,-64.029907,-3.774903245,0,64.029907,17.60847654,16.05597423,1.096693124,52.30584826,86,0,81.340088,714.209961,244.039916,142.190064,34.16921204,19.90872037,14.26049167,54.07793241,26.37026054,37.09821151
1/23/19,1656,1657.430054,1612,1640.02002,1640.02002,5225200,1662.451434,1577.53286,1697.119784,7.849976,0.480953319,7.849976,0,16.91144078,14.90911893,1.134301823,53.14627064,45.430054,0,0,667.210084,211.439941,142.190064,31.69015968,21.31113834,10.37902134,53.00129801,19.58257954,36.13947119
1/24/19,1641.069946,1657.26001,1631.780029,1654.930054,1654.930054,4089900,1667.840018,1590.746199,1693.398229,14.910034,0.909137317,14.910034,0,16.76848316,13.84418186,1.211229621,54.77629323,25.479981,0,0,650.670045,211.439941,142.190064,32.49572385,21.85286769,10.64285617,54.34859154,19.58257954,34.72564943
1/25/19,1670.5,1683.47998,1661.609985,1670.569946,1670.569946,4945900,1667.270002,1606.299055,1690.069118,15.639892,0.945048521,15.639892,0,16.6878695,12.85531173,1.298130287,56.48636608,28.549926,26.21997,0,585.5,181.659911,142.190064,31.0264579,24.28523723,6.741220666,55.31169513,12.18769493,33.90431459
1/28/19,1643.589966,1645,1614.089966,1637.890015,1637.890015,4837700,1660.714286,1614.250959,1687.067562,-32.679931,-1.956214469,0,32.679931,15.49587882,14.27135596,1.085802839,52.05683005,56.47998,0,47.520019,582.809936,141.099852,189.710083,24.21026878,32.55093492,8.340666141,56.76120371,14.69430808,34.46465425
1/29/19,1631.27002,1632.380005,1590.719971,1593.880005,1593.880005,4632800,1646.522862,1620.548102,1683.210117,-44.01001,-2.686994218,0,44.01001,14.38903034,16.39554554,0.877618272,46.74103809,47.170044,0,23.369995,569.97998,99.049926,213.080078,17.37779036,37.38378285,20.00599249,54.7615732,36.53290313,35.91035933
1/30/19,1623,1676.949951,1619.680054,1670.430054,1670.430054,5783800,1642.841448,1629.710484,1680.365784,76.550049,4.802748561,76.550049,0,18.8291031,15.22443514,1.236768584,55.2926482,83.069946,44.569946,0,626.649901,143.619872,213.080078,22.91867784,34.00304981,11.08437197,56.92172766,19.47300693,36.1375004
1/31/19,1692.849976,1736.410034,1679.079956,1718.72998,1718.72998,10910300,1655.207153,1640.032389,1677.85945,48.299926,2.891466535,48.299926,0,20.93416188,14.13697549,1.480809095,59.69057022,65.97998,59.460083,0,650.999876,203.079955,193.300049,31.19508351,29.69279352,1.502289994,60.88787704,2.467305591,34.81420765
2/1/19,1638.880005,1673.060059,1622.01001,1626.22998,1626.22998,11506200,1653.237148,1644.180007,1674.650783,-92.5,-5.38188087,0,92.5,19.4388646,19.73433438,0.985027629,49.62286743,96.71997,0,57.069946,723.649778,203.079955,250.369995,28.06329266,34.59822729,6.534934638,62.66151995,10.4289437,33.0802845
2/4/19,1623,1649.630005,1613.5,1633.310059,1633.310059,4929100,1650.148577,1650.514771,1671.305783,7.080079,0.435367635,7.080079,0,18.5560942,18.32473907,1.012625289,50.31365225,36.130005,0,8.51001,706.729856,203.079955,217.810058,28.73516002,30.81942218,2.084262165,59.5545822,3.499751133,30.21459116
